name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
Man of the House;PG;Comedy;1995;8900.0;James Orr;David E. Peckinpah;Chevy Chase;United States;;40070995.0;All Girl Productions;;
Man of the House;PG-13;Comedy;2005;23000.0;Stephen Herek;John J. McLaughlin;Tommy Lee Jones;United States;40000000.0;21577624.0;Revolution Studios;;
Elizabethtown;PG-13;Comedy;2005;68000.0;Cameron Crowe;Cameron Crowe;Orlando Bloom;United States;45000000.0;52164016.0;Paramount Pictures;;
Chicken Little;G;Animation;2005;88000.0;Mark Dindal;Mark Dindal;Zach Braff;United States;150000000.0;314432837.0;Walt Disney Pictures;;
Monster-in-Law;PG-13;Comedy;2005;58000.0;Robert Luketic;Anya Kochoff;Jennifer Lopez;United States;43000000.0;155457327.0;New Line Cinema;;
Domino;R;Action;2005;65000.0;Tony Scott;Richard Kelly;Keira Knightley;United States;50000000.0;22984628.0;New Line Cinema;;
The Ring Two;PG-13;Horror;2005;93000.0;Hideo Nakata;Ehren Kruger;Naomi Watts;United States;50000000.0;163995949.0;Dreamworks Pictures;;
Harsh Times;R;Action;2005;64000.0;David Ayer;David Ayer;Christian Bale;United States;2000000.0;5969708.0;Andrea Sperling Productions;;
Herbie Fully Loaded;G;Adventure;2005;46000.0;Angela Robinson;Thomas Lennon;Lindsay Lohan;United States;50000000.0;144146816.0;Walt Disney Pictures;;
Cursed;PG-13;Comedy;2005;31000.0;Wes Craven;Kevin Williamson;Christina Ricci;Germany;38000000.0;29621722.0;Dimension Films;;
xXx: State of the Union;PG-13;Action;2005;68000.0;Lee Tamahori;Rich Wilkes;Ice Cube;United States;113000000.0;71022693.0;Columbia Pictures;;
Derailed;R;Crime;2005;72000.0;Mikael H��fstr��m;Stuart Beattie;Clive Owen;United States;22000000.0;57479076.0;Di Bonaventura Pictures;;
Romance & Cigarettes;R;Comedy;2005;12000.0;John Turturro;John Turturro;James Gandolfini;United States;;2935242.0;United Artists;;
Unleashed;R;Action;2005;100000.0;Louis Leterrier;Luc Besson;Jet Li;United Kingdom;45000000.0;50871113.0;Rogue Pictures;;
Hustle & Flow;R;Crime;2005;39000.0;Craig Brewer;Craig Brewer;Terrence Howard;United States;2800000.0;23563727.0;Crunk Pictures;;
The Fog;R;Horror;1980;66000.0;John Carpenter;John Carpenter;Adrienne Barbeau;United States;1000000.0;21448782.0;AVCO Embassy Pictures;;
The Fog;PG-13;Horror;2005;35000.0;Rupert Wainwright;Cooper Layne;Tom Welling;United States;18000000.0;46201432.0;Revolution Studios;;
Must Love Dogs;PG-13;Comedy;2005;31000.0;Gary David Goldberg;Claire Cook;Diane Lane;United States;30000000.0;58231520.0;Warner Bros.;;
The Ballad of Jack and Rose;R;Drama;2005;11000.0;Rebecca Miller;Rebecca Miller;Daniel Day-Lewis;United States;1500000.0;916051.0;IFC Productions;;
The Great Raid;R;Action;2005;21000.0;John Dahl;William B. Breuer;Benjamin Bratt;United States;80000000.0;10777375.0;Miramax;;
Venom;R;Horror;1981;2600.0;Piers Haggard;Alan Scholefield;Klaus Kinski;United Kingdom;;5229643.0;Morison Film Group;;
Venom;R;Horror;2005;9700.0;Jim Gillespie;Flint Dille;Agnes Bruckner;United States;;881779.0;Dimension Films;;
Venom;PG-13;Action;2018;387000.0;Ruben Fleischer;Jeff Pinkner;Tom Hardy;China;100000000.0;856085151.0;Avi Arad Productions;;
Roll Bounce;PG-13;Comedy;2005;6800.0;Malcolm D. Lee;Norman Vance Jr.;Shad Moss;United States;;17521290.0;State Street Pictures;;
Alone in the Dark;R;Action;2005;42000.0;Uwe Boll;Elan Mastai;Christian Slater;Canada;20000000.0;12693645.0;AITD Productions;;
An American Haunting;PG-13;Drama;2005;25000.0;Courtney Solomon;Brent Monahan;Donald Sutherland;United Kingdom;14000000.0;29612137.0;Allan Zeman Productions;;
Supercross;PG-13;Action;2005;4400.0;Steve Boyum;Ken Solarz;Steve Howey;United States;16000000.0;3344431.0;Tag Entertainment;;
Oliver Twist;PG-13;Crime;2005;32000.0;Roman Polanski;Charles Dickens;Barney Clark;France;60000000.0;42580321.0;R.P. Productions;;
White Noise;PG-13;Drama;2005;48000.0;Geoffrey Sax;Niall Johnson;Michael Keaton;United Kingdom;10000000.0;91196419.0;Universal Pictures;;
Are We There Yet?;PG;Adventure;2005;30000.0;Brian Levant;Steven Gary Banks;Ice Cube;United States;32000000.0;97918663.0;Revolution Studios;;
The Protector;R;Action;1985;4200.0;James Glickenhaus;James Glickenhaus;Jackie Chan;Hong Kong;5000000.0;981817.0;Eurasia Investments;;
The Protector;R;Action;2005;36000.0;Prachya Pinkaew;Napalee;Tony Jaa;Thailand;;27165581.0;Sahamongkolfilm Co.;;
Proof;R;Drama;1991;6300.0;Jocelyn Moorhouse;Jocelyn Moorhouse;Hugo Weaving;Australia;;524668.0;House & Moorhouse Films;;
Proof;PG-13;Drama;2005;44000.0;John Madden;David Auburn;Gwyneth Paltrow;United States;20000000.0;14189860.0;Miramax;;
Last Days;R;Drama;2005;22000.0;Gus Van Sant;Gus Van Sant;Michael Pitt;United States;;2456454.0;HBO Films;;
Racing Stripes;PG;Adventure;2005;16000.0;Frederik Du Chau;David Schmidt;Frankie Muniz;United States;30000000.0;90754475.0;Alcon Entertainment;;
A Sound of Thunder;PG-13;Action;2005;19000.0;Peter Hyams;Ray Bradbury;Edward Burns;Czech Republic;80000000.0;11665465.0;Franchise Pictures;;
Keeping Mum;R;Comedy;2005;34000.0;Niall Johnson;Richard Russo;Rowan Atkinson;United Kingdom;169000.0;18586834.0;Summit Entertainment;;
An Unfinished Life;PG-13;Drama;2005;29000.0;Lasse Hallstr��m;Mark Spragg;Jennifer Lopez;Germany;30000000.0;18618284.0;Miramax;;
Boogeyman;PG-13;Drama;2005;30000.0;Stephen Kay;Eric Kripke;Barry Watson;United States;20000000.0;67192859.0;Screen Gems;;
Fierce People;R;Drama;2005;6600.0;Griffin Dunne;Dirk Wittenborn;Diane Lane;United States;;269755.0;Industry Entertainment;;
Me and You and Everyone We Know;R;Comedy;2005;36000.0;Miranda July;Miranda July;John Hawkes;United States;800000.0;8012838.0;IFC Films;;
Transamerica;R;Adventure;2005;41000.0;Duncan Tucker;Duncan Tucker;Felicity Huffman;United States;1000000.0;15151744.0;Belladonna Productions;;
The Lost City;R;Drama;2005;9300.0;Andy Garcia;Guillermo Cabrera Infante;Andy Garcia;United States;9600000.0;4408011.0;Crescent Drive Pictures;;
Beauty Shop;PG-13;Comedy;2005;17000.0;Bille Woodruff;Elizabeth Hunter;Queen Latifah;United States;;37245453.0;Metro-Goldwyn-Mayer (MGM);;
The Upside of Anger;R;Comedy;2005;21000.0;Mike Binder;Mike Binder;Joan Allen;United States;12000000.0;28237488.0;New Line Cinema;;
The Chumscrubber;R;Comedy;2005;18000.0;Arie Posin;Arie Posin;Jamie Bell;United States;6800000.0;351401.0;El Camino Pictures;;
The Man;PG-13;Action;2005;25000.0;Les Mayfield;Jim Piddock;Samuel L. Jackson;United States;33000000.0;13485145.0;New Line Cinema;;
Prime;PG-13;Comedy;2005;40000.0;Ben Younger;Ben Younger;Uma Thurman;United States;22000000.0;67937494.0;Prime Film Productions LLC;;
Manderlay;Not Rated;Drama;2005;23000.0;Lars von Trier;Lars von Trier;Bryce Dallas Howard;Denmark;14200000.0;674918.0;Zentropa Entertainments;;
Junebug;R;Comedy;2005;22000.0;Phil Morrison;Angus MacLachlan;Embeth Davidtz;United States;1000000.0;3399228.0;Junebug Movie;;
Dominion;R;Drama;2005;11000.0;Paul Schrader;William Wisher;Stellan Skarsg��rd;United States;30000000.0;251495.0;Morgan Creek Entertainment;;
Battle in Heaven;Unrated;Crime;2005;6100.0;Carlos Reygadas;Carlos Reygadas;Marcos Hern��ndez;Mexico;;258227.0;Coproduction Office;;
Dreamer;PG;Drama;2005;12000.0;John Gatins;John Gatins;Kurt Russell;United States;32000000.0;38741732.0;Dreamworks Pictures;;
Black;Not Rated;Drama;2005;34000.0;Sanjay Leela Bhansali;Sanjay Leela Bhansali;Amitabh Bachchan;India;;1266341.0;Applause Bhansali Productions;;
Factotum;R;Comedy;2005;14000.0;Bent Hamer;Charles Bukowski;Matt Dillon;Norway;1000000.0;2708087.0;Bulbul Films;;
Beowulf & Grendel;R;Action;2005;18000.0;Sturla Gunnarsson;Anonymous;Hringur Ingvarsson;Canada;;92076.0;Movision;;
